"id","metro","tempo","loja","preco"
"1",267.920446232626,0,6,70.1
"2",309.956016825165,0,9,50.8
"3",250.561814191661,0,1,45.4
"4",190.554590343819,0,6,45.7
"5",267.920446232626,0,6,71
"6",169.558888076079,0,0,45.5
"7",169.558888076079,0,0,52.2
"8",169.558888076079,0,0,55.2
"9",267.920446232626,0,6,73.6
"11",267.920446232626,0,6,63.3
"12",190.554590343819,0,6,44
"14",309.956016825165,0,9,44.9
"15",250.561814191661,0,1,52.2
"16",267.920446232626,0,6,69.7
"17",169.558888076079,0,0,55.3
"18",177.015819312363,1,6,50.7
"19",177.015819312363,1.1,6,54.4
"20",177.015819312363,1.1,6,48.6
"21",177.015819312363,1.1,6,49
"22",301.732534747623,1.1,5,51.8
"23",177.015819312363,1.1,6,45.1
"24",21.3815288953914,1.5,7,47.7
"25",21.3815288953914,1.5,7,49.7
"26",301.732534747623,1.7,5,50.4
"28",340.287673738113,1.9,7,40.5
"30",1331.1978785662,2,1,25.6
"31",412.622348207754,2.1,5,45.5
"32",168.553584491587,2.3,6,45.4
"33",142.871433796635,2.5,4,36.9
"34",487.816569129481,2.6,4,55
"36",487.816569129481,2.7,4,53.9
"37",351.008046817849,3.1,5,56.2
"38",528.494422092173,3.1,6,47.7
"39",447.953639356255,3.2,8,43.2
"40",51.640682150695,3.4,7,54.4
"41",51.640682150695,3.5,7,53.5
"42",45.4106163130944,3.5,8,57.8
"43",692.518013899049,3.5,3,36.7
"44",351.008046817849,3.6,5,58.8
"45",341.842446964155,3.6,10,61.9
"46",528.494422092173,3.7,6,41.6
"47",351.008046817849,3.8,5,55
"48",351.008046817849,3.8,5,60.7
"49",1963.58449158742,3.9,3,31.7
"50",45.4106163130944,3.9,8,56.8
"51",1963.58449158742,4,3,28.4
"52",1963.58449158742,4,3,30.7
"53",1963.58449158742,4,3,33.4
"54",1993.64027066569,4,3,28.6
"55",51.640682150695,4.1,7,62.1
"56",1963.58449158742,4.1,3,31.3
"57",286.115855888808,4.1,5,51.7
"58",395.060808339429,4.3,7,45.2
"59",2081.08723482078,4.5,3,29.3
"60",237.436631309437,4.6,6,53.7
"61",354.583119970739,4.7,9,44.8
"63",354.583119970739,4.9,9,44.7
"64",357.140087783467,5,5,43.1
"65",1426.32315288954,5.1,3,28.9
"66",1707.41861741039,5.1,2,35.6
"67",357.140087783467,5.2,5,52.2
"69",237.436631309437,5.3,6,63.2
"70",357.140087783467,5.4,5,49.5
"71",2202.80998536942,5.6,0,24.7
"72",82.7140270665691,5.6,9,50
"73",82.7140270665691,5.7,9,53.5
"74",82.7140270665691,5.9,9,52.7
"75",82.7140270665691,5.9,9,56.3
"76",82.7140270665691,6.2,9,58
"77",1773.72805413314,6.2,1,31.3
"78",82.7140270665691,6.3,9,58.1
"81",343.974853694221,6.5,6,40.9
"82",82.7140270665691,6.5,9,63.9
"83",82.7140270665691,6.6,9,59
"84",82.7140270665691,6.6,9,58.1
"86",1988.87161667886,7.1,3,32.1
"88",347.071598390636,7.1,10,49.8
"89",584.87545720556,7.5,5,40.8
"90",1988.87161667886,7.6,3,27.7
"91",95.8395208485735,7.8,5,38.4
"92",95.8395208485735,7.8,5,47
"93",95.8395208485735,8,5,51.8
"95",121.202359180688,8,9,47.3
"96",95.8395208485735,8.1,5,51.6
"98",95.8395208485735,8.3,5,42.8
"102",1286.0552304316,8.9,0,48
"104",1282.01901975128,9,0,38.5
"105",1282.01901975128,9.1,0,43.2
"106",1282.01901975128,9.1,0,42.3
"107",385.405084125823,9.7,5,49.3
"110",861.801755669349,10,0,43.5
"111",255.27852962692,10.1,7,47.9
"113",193.349762253109,10.3,1,45.3
"114",252.78803950256,10.4,5,33.6
"115",2059.19714703731,10.4,4,27.3
"118",1765.9171543526,11,2,21.3
"119",1566.04974396489,11,2,28.8
"120",357.140087783467,11.4,5,46.8
"121",1243.7262253109,11.5,1,26.2
"122",357.140087783467,11.6,5,39.4
"124",487.816569129481,11.8,4,40.3
"126",2899.89850036576,11.9,0,46.6
"128",1243.7262253109,12,1,28.9
"129",1243.7262253109,12.2,1,26.6
"130",1243.7262253109,12.2,1,30.1
"131",1243.7262253109,12.3,1,29.5
"132",1566.04974396489,12.4,2,31.3
"133",513.884875640088,12.5,5,42
"134",1046.48500365764,12.5,4,34.1
"135",350.475950987564,12.6,7,42.5
"136",155.567757863936,12.7,1,32.9
"137",155.567757863936,12.7,1,37.3
"138",171.435899780541,12.7,1,28.5
"140",670.128749085589,12.8,0,40.6
"141",450.101773957571,12.9,5,42.5
"142",229.179773226042,12.9,7,39.3
"143",171.435899780541,12.9,1,33.1
"144",450.101773957571,13,5,39.3
"145",670.128749085589,13,0,39
"146",450.101773957571,13,5,40.5
"147",685.872713972202,13,2,37
"148",1046.48500365764,13.1,4,36.7
"149",513.884875640088,13.1,5,45.9
"150",1065.14081931236,13.1,4,32.2
"151",1065.14081931236,13.2,4,34.3
"152",138.016367959034,13.2,7,48.1
"153",685.872713972202,13.2,2,37.8
"154",155.567757863936,13.2,1,29.3
"155",1566.04974396489,13.2,2,30.8
"156",450.101773957571,13.2,5,42.3
"157",513.884875640088,13.3,5,47.3
"158",513.884875640088,13.3,5,54.8
"159",450.101773957571,13.3,5,38.9
"160",307.290782735918,13.3,5,42.4
"161",450.101773957571,13.3,5,31.3
"162",229.179773226042,13.3,7,42
"165",3732.63990490124,13.6,0,15.9
"166",3838.10259692758,13.6,0,13
"167",450.101773957571,13.6,5,48
"168",291.76188734455,13.6,6,47.4
"169",450.101773957571,13.6,5,40.1
"170",450.101773957571,13.6,5,43.8
"171",3838.10259692758,13.6,0,19.2
"172",1130.72787125091,13.7,1,30.6
"173",229.179773226042,13.7,7,41.4
"174",3732.63990490124,13.7,0,15.4
"175",3732.63990490124,13.8,0,20
"176",3732.63990490124,13.8,0,15.6
"177",3730.26517922458,13.9,0,27.3
"178",4182.3143745428,13.9,0,19.2
"179",264.561814191661,13.9,5,44.5
"180",401.290508412582,14,1,42.6
"182",264.561814191661,14.1,5,53.3
"183",1647.35186539868,14.2,1,24.8
"184",155.431876371617,14.4,1,50.2
"185",310.194678127286,14.6,1,26.5
"186",1243.7262253109,14.7,1,24.6
"187",1769.39374542794,14.7,2,22.9
"188",1570.22037307974,14.7,2,30.5
"189",1570.22037307974,14.7,2,23
"191",350.475950987564,15,7,34.4
"192",1671.83522311631,15,2,20.9
"193",350.475950987564,15.1,7,43.7
"194",3449.06272860278,15.2,0,29.3
"195",421.636430138991,15.2,5,34.6
"197",746.096744696416,15.5,4,37.4
"198",264.561814191661,15.6,5,46.1
"199",1606.08174835406,15.6,2,27.3
"200",688.338423555231,15.6,2,37.5
"201",746.096744696416,15.7,4,38.1
"203",1369.52542062911,15.9,3,23.6
"204",264.561814191661,15.9,5,42.1
"205",3718.53237015362,16,0,11.6
"206",264.561814191661,16.1,5,51.7
"207",746.096744696416,16.1,4,35.6
"208",3718.53237015362,16.1,0,12.9
"209",264.561814191661,16.2,5,46.2
"210",264.561814191661,16.2,5,51.4
"212",2092.18269934162,16.2,3,24.4
"214",1923.51408193124,16.2,3,25.6
"215",3718.53237015362,16.3,0,20.5
"216",3227.47256766642,16.3,0,29.3
"217",264.561814191661,16.4,5,51
"218",3457.01353328457,16.4,0,45.1
